Move Name,Power,Accuracy,type,move_description
wrap,15,90,1,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
take-down,90,85,1,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
thrash,120,100,1,"Inflicts regular damage.  User is forced to attack with this move for 2�3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
double-edge,120,100,1,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
tail-whip,,100,1,Lowers the target's Defense by one stage.
poison-sting,15,100,4,Inflicts regular damage.  Has a 30% chance to poison the target.
twineedle,25,100,7,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.
pin-missile,25,95,7,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
leer,,100,1,Lowers the target's Defense by one stage.
bite,60,100,17,Inflicts regular damage.  Has a 30% chance to make the target flinch.
growl,,100,1,Lowers the target's Attack by one stage.
roar,,,1,"Switches the target out for another of its trainer's Pok�mon selected at random.  Wild battles end immediately.

Doesn't affect Pok�mon with suction cups or under the effect of ingrain."
sing,,55,1,Puts the target to sleep.
supersonic,,55,1,Confuses the target.
sonic-boom,,90,1,Inflicts exactly 20 damage.
disable,,100,1,"Disables the target's last used move, preventing its use for 4�7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
acid,40,100,4,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
ember,40,100,10,Inflicts regular damage.  Has a 10% chance to burn the target.
flamethrower,90,100,10,Inflicts regular damage.  Has a 10% chance to burn the target.
mist,,,15,"Pok�mon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect."
water-gun,40,100,11,Inflicts regular damage.
hydro-pump,110,80,11,Inflicts regular damage.
surf,90,100,11,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power."
ice-beam,90,100,15,Inflicts regular damage.  Has a 10% chance to freeze the target.
blizzard,110,70,15,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect."
psybeam,65,100,14,Inflicts regular damage.  Has a 10% chance to confuse the target.
bubble-beam,65,100,11,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
aurora-beam,65,100,15,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.
hyper-beam,150,90,1,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
peck,35,100,3,Inflicts regular damage.
drill-peck,80,100,3,Inflicts regular damage.
submission,80,80,2,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
low-kick,,100,2,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
counter,,100,2,"Targets the last opposing Pok�mon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome."
seismic-toss,,100,2,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
strength,80,100,1,Inflicts regular damage.
absorb,20,100,12,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
mega-drain,40,100,12,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
leech-seed,,90,12,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pok�mon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass."
growth,,,1,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages."
razor-leaf,55,95,12,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
solar-beam,120,100,12,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk."
poison-powder,,75,4,Poisons the target.
stun-spore,,75,12,Paralyzes the target.
sleep-powder,,75,12,Puts the target to sleep.
petal-dance,120,100,12,"Inflicts regular damage.  User is forced to attack with this move for 2�3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
string-shot,,95,7,Lowers the target's Speed by two stages.
dragon-rage,,100,16,Inflicts exactly 40 damage.
fire-spin,35,85,10,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
thunder-shock,40,100,13,Inflicts regular damage.  Has a 10% chance to paralyze the target.
thunderbolt,90,100,13,Inflicts regular damage.  Has a 10% chance to paralyze the target.
thunder-wave,,90,13,Paralyzes the target.
thunder,110,70,13,"Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy."
rock-throw,50,90,6,Inflicts regular damage.
earthquake,100,100,5,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power."
fissure,,30,5,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
dig,80,100,5,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk."
toxic,,90,4,Badly poisons the target.  Never misses when used by a poison-type Pok�mon.
confusion,50,100,14,Inflicts regular damage.  Has a 10% chance to confuse the target.
psychic,90,100,14,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
hypnosis,,60,14,Puts the target to sleep.
meditate,,,14,Raises the user's Attack by one stage.
agility,,,14,Raises the user's Speed by two stages.
quick-attack,40,100,1,Inflicts regular damage.
rage,20,100,1,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage."
teleport,,,14,Does nothing.  Wild battles end immediately.
night-shade,,100,8,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
mimic,,,1,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore."
screech,,85,1,Lowers the target's Defense by two stages.
double-team,,,1,Raises the user's evasion by one stage.
recover,,,1,Heals the user for half its max HP.
harden,,,1,Raises the user's Defense by one stage.
minimize,,,1,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pok�mon that have used this move since entering the field."
smokescreen,,100,1,Lowers the target's accuracy by one stage.
confuse-ray,,100,8,Confuses the target.
withdraw,,,11,Raises the user's Defense by one stage.
defense-curl,,,1,"Raises user's Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field."
barrier,,,14,Raises the user's Defense by two stages.
light-screen,,,14,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier."
haze,,,15,"Removes stat, accuracy, and evasion modifiers from every Pok�mon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke."
reflect,,,14,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier."
focus-energy,,,1,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass."
bide,,,1,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pok�mon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk."
metronome,,,1,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk."
mirror-move,,,3,"Uses the last move targeted at the user by a Pok�mon still on the field.  A move counts as targeting the user even if it hit multiple Pok�mon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pok�mon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, �meta� moves that operate on other moves/Pok�mon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore."
self-destruct,200,100,1,"User faints, even if the attack fails or misses.  Inflicts regular damage."
egg-bomb,100,75,1,Inflicts regular damage.
lick,30,100,8,Inflicts regular damage.  Has a 30% chance to paralyze the target.
smog,30,70,4,Inflicts regular damage.  Has a 40% chance to poison the target.
sludge,65,100,4,Inflicts regular damage.  Has a 30% chance to poison the target.
bone-club,65,85,5,Inflicts regular damage.  Has a 10% chance to make the target flinch.
fire-blast,110,85,10,Inflicts regular damage.  Has a 10% chance to burn the target.
waterfall,80,100,11,Inflicts regular damage.  Has a 20% chance to make the target flinch.
clamp,35,85,11,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
swift,60,,1,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
skull-bash,130,100,1,"Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk."
spike-cannon,20,100,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
constrict,10,100,1,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
amnesia,,,14,Raises the user's Special Defense by two stages.
kinesis,,80,14,Lowers the target's accuracy by one stage.
soft-boiled,,,1,Heals the user for half its max HP.
high-jump-kick,130,90,2,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect."
glare,,100,1,Paralyzes the target.
dream-eater,100,100,14,Fails if not used on a sleeping Pok�mon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.
poison-gas,,90,4,Poisons the target.
barrage,15,85,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
leech-life,80,100,7,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
lovely-kiss,,75,1,Puts the target to sleep.
sky-attack,140,90,3,"Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.

This move cannot be selected by sleep talk."
transform,,,1,"User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.

choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.

This move cannot be copied by mirror move, nor forced by encore."
bubble,40,100,11,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
dizzy-punch,70,100,1,Inflicts regular damage.  Has a 20% chance to confuse the target.
spore,,100,12,Puts the target to sleep.
flash,,100,1,Lowers the target's accuracy by one stage.
psywave,,100,14,"Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%."
splash,,,1,"Does nothing.

This move cannot be used while gravity is in effect."
acid-armor,,,4,Raises the user's Defense by two stages.
crabhammer,100,90,11,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
explosion,250,100,1,"User faints, even if the attack fails or misses.  Inflicts regular damage."
fury-swipes,18,80,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
bonemerang,50,90,5,Inflicts regular damage.  Hits twice in one turn.
rest,,,14,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.

This move fails if the Pok�mon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pok�mon is at full health or is already asleep."
rock-slide,75,90,6,Inflicts regular damage.  Has a 30% chance to make the target flinch.
hyper-fang,80,90,1,Inflicts regular damage.  Has a 10% chance to make the target flinch.
sharpen,,,1,Raises the user's Attack by one stage.
conversion,,,1,"User's type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail."
tri-attack,80,100,1,"Inflicts regular damage.  Has a 20% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur."
super-fang,,90,1,Inflicts typeless damage equal to half the target's remaining HP.
slash,70,100,1,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
substitute,,,1,"Transfers 1/4 the user's max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.

The doll takes damage as normal, using the user's stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's HP still do so; the doll's HP does not influence any move.

The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pok�mon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.

Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pok�mon that damage the doll with a leech move like absorb are healed as normal.

It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pok�mon affected by yawn before summoning the doll will still fall to sleep.

The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.

life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.

The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.

The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pok�mon's stats and types for damage calculation.

All other effects work as normal."
struggle,50,,1,"Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.

This move is used automatically when a Pok�mon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.

This move's recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore."
sketch,,,1,"Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will fail.

This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore."
triple-kick,10,90,2,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.

skill link does not apply."
thief,60,100,17,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pok�mon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome."
spider-web,,,7,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass."
mind-reader,,,1,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pok�mon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass."
nightmare,,100,8,"Only works on sleeping Pok�mon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends."
flame-wheel,60,100,10,"Inflicts regular damage.  Has a 10% chance to burn the target.  Frozen Pok�mon may use this move, in which case they will thaw."
snore,50,100,1,Only usable if the user is sleeping.  Inflicts regular damage.  Has a 30% chance to make the target flinch.
curse,,,8,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.
Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each.

The curse effect is passed on by baton pass.

This move cannot be copied by mirror move."
flail,,100,1,"Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0� 1                    |  200
 2� 5                    |  150
 6�12                    |  100
13�21                    |   80
22�42                    |   40
43�64                    |   20
"
conversion-2,,,1,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail."
aeroblast,100,95,3,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
cotton-spore,,100,12,Lowers the target's Speed by two stages.
reversal,,100,2,"Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0� 1                    |  200
 2� 5                    |  150
 6�12                    |  100
13�21                    |   80
22�42                    |   40
43�64                    |   20
"
spite,,100,8,"Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail."
powder-snow,40,100,15,Inflicts regular damage.  Has a 10% chance to freeze the target.
protect,,,1,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 � accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome."
mach-punch,40,100,2,Inflicts regular damage.
scary-face,,100,1,Lowers the target's Speed by two stages.
feint-attack,60,,17,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
sweet-kiss,,75,18,Confuses the target.
belly-drum,,,1,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail."
sludge-bomb,90,100,4,Inflicts regular damage.  Has a 30% chance to poison the target.
mud-slap,20,100,5,Inflicts regular damage.  Has a 100% chance to lower the target's accuracy by one stage.
octazooka,65,85,11,Inflicts regular damage.  Has a 50% chance to lower the target's accuracy by one stage.
spikes,,,5,"Scatters spikes around the opposing field, which damage opposing Pok�mon that enter the field for 1/8 of their max HP.  Pok�mon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.

wonder guard does not block damage from this effect.

rapid spin removes this effect from its user's side of the field.  defog removes this effect from its target's side of the field."
zap-cannon,120,50,13,Inflicts regular damage.  Has a 100% chance to paralyze the target.
foresight,,,1,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.
destiny-bond,,,8,"If the user faints before its next move, the Pok�mon that fainted it will automatically faint.  End-of-turn damage is ignored.

This move cannot be selected by assist or metronome."
perish-song,,,1,"Every Pok�mon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pok�mon's counter reaches zero, that Pok�mon faints.  A Pok�mon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pok�mon's counters remain.

This effect is passed on by baton pass.

This move cannot be copied by mirror move."
icy-wind,55,95,15,Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.
